;gene1;gene2;cor
154;PBX2;STAT2;0,624257102961537
155;SLC26A8;STAT1;0,636190733048765
156;SLC26A8;SP110;0,623431668473264
157;SLC26A8;SP100;0,638688953167023
158;SLC26A8;RUNX2;0,602913340039029
159;SLC26A8;NR4A3;0,604086209649589
160;SLC26A8;STAT2;0,616905749437685
161;RUNX2;SP100;0,608754934263497
162;EZR;SP100;0,628869803985847
163;EZR;RUNX2;0,6274198671253
164;EZR;STAT2;0,601809127184798
165;TAGAP;SP100;0,634818708568015
166;TAGAP;RUNX2;0,608928276800503
167;TAGAP;STAT2;0,619569175469701
168;MACC1;STAT1;0,609698470455286
169;MACC1;SP100;0,635988707921076
170;MACC1;RUNX2;0,630909636180012
171;MACC1;STAT2;0,620803533161776
172;NOD1;SP100;0,614599943724119
173;NOD1;RUNX2;0,622613790082003
174;PPP1R17;STAT1;0,611848025320275
175;PPP1R17;SP110;0,605179193158212
176;PPP1R17;SP100;0,633046978322412
177;PPP1R17;RUNX2;0,625047345564779
178;PPP1R17;STAT2;0,611065329139463
179;NT5C3A;SP110;0,614572465909811
180;NT5C3A;TRAFD1;0,619121418666154
181;CLDN4;NR4A3;0,608670254078015
182;CLDN4;STAT2;0,602875525861673
183;SPDYE5;RUNX2;0,602955756350902
184;SEMA3A;NR4A3;0,610188677677913
185;SAMD9;SP110;0,613162184825157
186;SAMD9;TRAFD1;0,620695148124063
187;SAMD9L;STAT1;0,646805036090206
188;SAMD9L;SP110;0,61054318654211
189;SAMD9L;SP100;0,637378259085917
190;SAMD9L;NR4A3;0,624894682701688
191;SAMD9L;STAT2;0,617652252004656
192;DEFB1;STAT1;0,603842099170956
193;DEFB1;SP100;0,641921415722702
194;DEFB1;NR4A3;0,610008890399136
195;DEFB1;STAT2;0,634097651134308
196;PDGFRL;PLSCR1;0,603546825198302
197;PDGFRL;STAT2;0,612469053046189
198;EXT1;STAT1;0,631188668305521
199;EXT1;SP100;0,630138065483785
200;EXT1;NR4A3;0,626250379084482
201;EXT1;STAT2;0,629881610674695
202;LY6E;STAT1;0,609880365510038
203;CDKN2A;STAT1;0,615568062417437
204;CDKN2A;SP110;0,640992865082537
205;CDKN2A;SP100;0,616951762919012
206;DDX58;STAT1;0,639494040794469
207;DDX58;SP110;0,61977822604704
208;DDX58;SP100;0,630801754625389
209;DDX58;NR4A3;0,612852654274511
210;DDX58;STAT2;0,601908338170284
211;TDRD7;SP100;0,601397194824667
212;TDRD7;PLSCR1;0,611952499425334
213;TDRD7;NR4A3;0,607936690289295
214;TDRD7;STAT2;0,623386797008796
215;TRIM14;PLSCR1;0,609612422467364
216;NR4A3;STAT1;0,637253460931139
217;NR4A3;SP100;0,626595039214934
218;NR4A3;STAT2;0,622523937215005
219;ZNF618;STAT1;0,601322339381223
220;ASB6;STAT1;0,623097603878496
221;LOC100421372;SP100;0,604205216252563
222;LOC100421372;PLSCR1;0,612028019434303
223;LOC100421372;NR4A3;0,610330366611261
224;LOC100421372;STAT2;0,624570000650256
225;MASTL;STAT1;0,644805122205563
226;MASTL;SP100;0,647303983798394
227;MASTL;NR4A3;0,640731333806846
228;MASTL;STAT2;0,641644247233222
229;VCL;SP110;0,627293421833608
230;VCL;TRAFD1;0,617157410590281
231;ANKRD22;STAT1;0,621703329954274
232;ANKRD22;NR4A3;0,630867216846177
233;IFIT3;STAT1;0,64454497271043
234;IFIT3;SP100;0,643978956655163
235;IFIT3;NR4A3;0,644589282949349
236;IFIT3;STAT2;0,629353447335767
237;IFIT1;STAT1;0,611521506627627
238;IFIT1;SP110;0,641933604510243
239;IFIT1;SP100;0,614503480484574
240;IFIT5;PLSCR1;0,606380007895518
241;IFIT5;IRF7;0,604824266711026
242;IFITM1;TRAFD1;0,608117136574234
243;IFITM3;SP110;0,63997939622799
244;IFITM3;KLF6;0,602172090839772
245;IFITM3;TRAFD1;0,600380372515833
246;IRF7;PLSCR1;0,601453041503078
247;TRIM5;STAT1;0,626960446687532
248;TRIM22;STAT1;0,601119356852325
249;TRIM22;SP110;0,60853905037347
250;TRIM22;KLF6;0,620913899479871
251;UBE2L6;STAT1;0,609698130334021
252;UBE2L6;SP100;0,63427279923398
253;UBE2L6;RUNX2;0,629214247083887
254;UBE2L6;STAT2;0,615371395385424
255;TAF6L;SP110;0,617719804965356
256;TAF6L;TRAFD1;0,612099210927658
257;RBM4B;TRAFD1;0,600206744787561
258;CEP126;SP100;0,622334456901768
259;CEP126;RUNX2;0,629317382977572
260;LAG3;SP110;0,61506351631805
261;LAG3;TRAFD1;0,623634356516648
262;CLEC6A;STAT1;0,649043134339988
263;CLEC6A;SP110;0,604353919042845
264;CLEC6A;SP100;0,642232307430721
265;CLEC6A;NR4A3;0,629000225104072
266;CLEC6A;STAT2;0,628681968850854
267;ST8SIA1;STAT1;0,616222620515757
268;ST8SIA1;SP100;0,644097157822737
269;ST8SIA1;RUNX2;0,616678415641825
270;ST8SIA1;NR4A3;0,6057524933519
271;ST8SIA1;STAT2;0,637287224594413
272;ITPR2;STAT1;0,642478090689583
273;ITPR2;SP110;0,611031641930974
274;ITPR2;SP100;0,633274087565186
275;ITPR2;NR4A3;0,620152879379655
276;ITPR2;STAT2;0,605877119683303
277;RESF1;RUNX2;0,601041769449762
278;STAT2;STAT1;0,614745664418902
279;STAT2;SP100;0,643754559537657
280;STAT2;PLSCR1;0,600284818569796
281;STAT2;NR4A3;0,622523937215005
282;MYO1A;SP110;0,615070956997527
283;MYO1A;KLF6;0,620851289532804
284;RASSF3;STAT1;0,637562444027778
285;RASSF3;SP100;0,611687640878972
286;RAB3IP;STAT1;0,606341706746431
287;RAB3IP;SP100;0,642934724054768
288;RAB3IP;RUNX2;0,603154592286652
289;RAB3IP;NR4A3;0,604200710323222
290;RAB3IP;STAT2;0,634155033295729
291;TRAFD1;ELF4;0,603277354096906
292;OAS1;NR4A3;0,622752879414274
293;OAS2;NR4A3;0,604292887461474
294;PLBD2;TRAFD1;0,606442048776576
295;PLBD2;ELF4;0,601593519383305
296;HCAR3;RUNX2;0,609503646460334
297;PARP4;SP100;0,611454777180003
298;PARP4;STAT2;0,606653422751463
299;EPSTI1;STAT1;0,622752629963862
300;EPSTI1;SP100;0,640995822242594
301;EPSTI1;PLSCR1;0,609096966499778
302;EPSTI1;NR4A3;0,634646180304202
303;EPSTI1;STAT2;0,636496155488444
304;GPR180;SP110;0,625721974727681
305;TNFSF13B;STAT1;0,642434393695288
306;TNFSF13B;SP100;0,624303533333404
307;TNFSF13B;NR4A3;0,617814055457713
308;TNFSF13B;STAT2;0,610688617318783
309;CHMP4A;PLSCR1;0,609207591190726
310;IFI27;TRAFD1;0,609220927450515
311;PLD4;SP100;0,60219081867719
312;PLD4;RUNX2;0,613189953543168
313;GPR132;STAT1;0,624324225111044
314;GPR132;SP110;0,625191744569721
315;GPR132;SP100;0,63347524500678
316;GPR132;RUNX2;0,609595185086395
317;GPR132;STAT2;0,608612868631961
318;TJP1;STAT1;0,626477959332318
319;TJP1;SP110;0,631894192166821
320;TJP1;SP100;0,629626567657222
321;TJP1;STAT2;0,603341755998798
322;CHRNA7;SP110;0,624057904324846
323;CSNK1G1;SP100;0,62407613416586
324;CSNK1G1;RUNX2;0,610204153425997
325;CSNK1G1;STAT2;0,604347998585792
326;PML;STAT1;0,603960404947823
327;PML;NR4A3;0,62586069666438
328;WHAMM;SP100;0,636102030912319
329;WHAMM;RUNX2;0,618607335739406
330;WHAMM;STAT2;0,617546608181123
331;ISG20;SP110;0,624756310766543
332;SBK1;TRAFD1;0,611113438058869
333;IL27;SP110;0,628920320885923
334;RUSF1;STAT1;0,62710289572755
335;RUSF1;SP110;0,627978051205638
336;RUSF1;SP100;0,621870312751499
337;MYLK3;SP110;0,625489225028814
338;MYLK3;KLF6;0,612634392008654
339;NLRC5;STAT1;0,627708427630905
340;NLRC5;SP100;0,614460476597017
341;NLRC5;KLF6;0,601524915932735
342;TAF1C;SP100;0,602752421286135
343;TAF1C;RUNX2;0,609554042159005
344;FANCA;SP110;0,624363988197056
345;FANCA;KLF6;0,614693696354396
346;XAF1;NR4A3;0,608593057645995
347;DVL2;STAT1;0,605125650264394
348;TLCD1;RUNX2;0,608039724753617
349;TRAF4;TRAFD1;0,60283694179067
350;TRAF4;ELF4;0,602164615434202
351;IGFBP4;SP110;0,623703164893142
352;IGFBP4;TRAFD1;0,602527635303172
353;CNP;PLSCR1;0,608016899058329
354;IFI35;SP100;0,613171204051471
355;IFI35;PLSCR1;0,621271625007105
356;IFI35;STAT2;0,630593602925945
357;DCAKD;SP100;0,600707707158179
358;DCAKD;RUNX2;0,611357473764059
359;CD300E;RUNX2;0,610163843643424
360;AANAT;STAT1;0,604298106951227
361;AANAT;SP110;0,642011421645059
362;AANAT;SP100;0,608765456988187
363;PIAS2;ELF4;0,602568725750569
364;APC2;STAT1;0,619173836776426
365;APC2;SP100;0,644236983621548
366;APC2;RUNX2;0,618876879151198
367;APC2;NR4A3;0,606747651143425
368;APC2;STAT2;0,637838007611548
369;SHFL;STAT1;0,640085320209009
370;SHFL;SP100;0,625380062969575
371;SHFL;NR4A3;0,621484390738942
372;SHFL;STAT2;0,617688604334135
373;ITPKC;STAT1;0,640256245372041
374;ITPKC;SP110;0,618042842442147
375;ITPKC;SP100;0,631384723581977
376;ITPKC;NR4A3;0,614513659538064
377;ITPKC;STAT2;0,602887492519377
378;ZNF574;STAT1;0,608490039276652
379;ZNF574;SP100;0,628407219634863
380;ZNF574;PLSCR1;0,621621755019298
381;ZNF574;NR4A3;0,609620155543206
382;ZNF574;STAT2;0,636276224783291
383;FIZ1;STAT1;0,609906710715288
384;FIZ1;SP110;0,607662205391108
385;FIZ1;KLF6;0,618591364540297
386;ZNF471;PLSCR1;0,610350780190284
387;RBCK1;SP110;0,62206478205664
388;CD40;STAT1;0,639592380971544
389;CD40;SP100;0,610706292813412
390;CD40;NR4A3;0,624242982252844
391;CD40;STAT2;0,603009242073044
392;MX2;NR4A3;0,607018245573911
393;SPATC1L;SP110;0,628020295025362
394;SPATC1L;KLF6;0,603165397620661
395;ADA2;SP100;0,61821213550964
396;ADA2;PLSCR1;0,618394765477711
397;ADA2;STAT2;0,632319390617597
398;USP18;STAT1;0,624625803498064
399;USP18;SP110;0,603800043760039
400;USP18;SP100;0,61444293742207
401;USP18;KLF6;0,605315530543656
402;RTCB;NR4A3;0,605891353403729
403;APOBEC3A;PLSCR1;0,606576141253152
404;ADSL;SP110;0,6093221725009
405;TMSB4X;SP110;0,619805744520163
406;TMSB4X;TRAFD1;0,614221892116355
407;USP11;STAT1;0,61201713084639
408;GRIPAP1;STAT1;0,639039858889962
409;GRIPAP1;SP100;0,604063474109895
410;GRIPAP1;NR4A3;0,606582948685895
411;ARMCX6;ELF4;0,600491394688267
412;ELF4;TRAFD1;0,603277354096906
413;RAB33A;SP100;0,610660008832307
414;RAB33A;RUNX2;0,6111354039382
415;PABIR3;STAT1;0,606185703856976
416;PABIR3;SP100;0,640847751965617
417;PABIR3;RUNX2;0,624169030332457
418;PABIR3;STAT2;0,629912188810163
